z ,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Mês,Dia,Alerta,Local-Origem,Local-Destino,Cias-Aéreas,Clube-Milhas,Milheiro,Milhas-Ida,Mês-Ida,Ano-Ida,Milhas-Volta,Mês-Volta,Ano-Volta,Valor-Real,Região-Origem,UF-Origem,País-Destino,Região-Destino,UF-Destino,Ida-Real,Volta-Real,Total-Real,Economia %,Total-Milhas
2024,11,1,Ouro,Palmas,Recife,Azul,Azul,R$ 0.019,"15,300",12,2024,"18,000",12,2024,"R$ 1,280.00",Norte,TO,Brasil,Nordeste,PE,R$ 290.70,R$ 342.00,R$ 632.70,50.57%,"33,300"
2024,11,1,Prata,Manaus,Santiago,Latam,Latam,R$ 0.024,"25,278",11-12,2024,"25,278",11-12,2024,"R$ 2,044.00",Norte,AM,Chile,Exterior,Capital,R$ 606.67,R$ 606.67,"R$ 1,213.34",40.64%,"50,556"
2024,11,1,Prata,Manaus,Roma,Latam,Latam,R$ 0.024,"73,227",11,2024,"73,026",11,2024,"R$ 5,044.00",Norte,AM,Itália,Exterior,Capital,"R$ 1,757.45","R$ 1,752.62","R$ 3,510.07",30.41%,"146,253"
2024,11,1,Ouro,Belém,Assunção,Latam,Latam,R$ 0.024,"20,864",12,2024,"27,287",12,2024,"R$ 2,328.00",Norte,PA,Paraguai,Exterior,Capital,R$ 500.74,R$ 654.89,"R$ 1,155.62",50.36%,"48,151"
2024,11,1,Prata,Palmas,Santiago,Latam,Latam,R$ 0.024,"21,306",12,2024,"21,306",12,2024,"R$ 1,601.00",Norte,TO,Chile,Exterior,Capital,R$ 511.34,R$ 511.34,"R$ 1,022.69",36.12%,"42,612"
2024,11,1,Prata,Palmas,Santiago,Latam,Latam,R$ 0.024,"21,306",12,2024,"21,306",02-05,2025,"R$ 1,601.00",Norte,TO,Chile,Exterior,Capital,R$ 511.34,R$ 511.34,"R$ 1,022.69",36.12%,"42,612"
2024,11,1,Prata,Palmas,Santiago,Latam,Latam,R$ 0.024,"21,306",02-05,2025,"21,306",02-05,2025,"R$ 1,601.00",Norte,TO,Chile,Exterior,Capital,R$ 511.34,R$ 511.34,"R$ 1,022.69",36.12%,"42,612"
2024,11,1,Ouro,Belém,Mendoza,Latam,Latam,R$ 0.024,"24,877",02,2025,"24,877",02,2025,"R$ 4,055.00",Norte,PA,Argentina,Exterior,Cuyo,R$ 597.05,R$ 597.05,"R$ 1,194.10",70.55%,"49,754"
2024,11,1,Bronze,Palmas,Curitiba,Latam,Latam,R$ 0.024,"34,583",02-04,2025,"12,094",03-04,2025,"R$ 1,313.00",Norte,TO,Brasil,Sul,PR,R$ 829.99,R$ 290.26,"R$ 1,120.25",14.68%,"46,677"
2024,11,1,Ouro,Porto Velho,Manaus,Gol,Smiles,R$ 0.016,"16,600",01,2025,"16,600",01-02,2025,"R$ 2,500.00",Norte,RO,Brasil,Norte,AM,R$ 265.60,R$ 265.60,R$ 531.20,78.75%,"33,200"
2024,11,1,Ouro,Belém,Macapá,Gol,Smiles,R$ 0.016,"7,900",01,2025,"7,900",01,2025,"R$ 2,500.00",Norte,PA,Brasil,Norte,AP,R$ 126.40,R$ 126.40,R$ 252.80,89.89%,"15,800"
2024,11,1,Ouro,Belém,Fortaleza,Latam,Latam,R$ 0.024,"9,659",01-03,2025,"9,789",01-03,2025,"R$ 1,093.00",Norte,PA,Brasil,Nordeste,CE,R$ 231.82,R$ 234.94,R$ 466.75,57.30%,"19,448"
2024,11,1,Ouro,Manaus,Florianópolis,Latam,Latam,R$ 0.024,"31,007",01-02-03,2025,"12,063",01-02-03,2025,"R$ 2,040.00",Norte,AM,Brasil,Sul,SC,R$ 744.17,R$ 289.51,"R$ 1,033.68",49.33%,"43,070"
2024,11,1,Ouro,Aracaju,Bariloche,Latam,Latam,R$ 0.024,"58,581",12,2024,"58,581",12,2024,"R$ 6,080.00",Nordeste,SE,Argentina,Exterior,Patagônia,"R$ 1,405.94","R$ 1,405.94","R$ 2,811.89",53.75%,"117,162"
2024,11,1,Ouro,Aracaju,Bariloche,Latam,Latam,R$ 0.024,"58,581",12,2024,"58,581",02-03,2025,"R$ 6,080.00",Nordeste,SE,Argentina,Exterior,Patagônia,"R$ 1,405.94","R$ 1,405.94","R$ 2,811.89",53.75%,"117,162"
2024,11,1,Ouro,Aracaju,Bariloche,Latam,Latam,R$ 0.024,"58,581",01-02-03,2025,"58,581",02-03,2025,"R$ 6,080.00",Nordeste,SE,Argentina,Exterior,Patagônia,"R$ 1,405.94","R$ 1,405.94","R$ 2,811.89",53.75%,"117,162"
2024,11,1,Bronze,Salvador,Roma,Latam,Latam,R$ 0.024,"64,600",11,2024,"63,998",11,2024,"R$ 4,377.00",Nordeste,BA,Itália,Exterior,Capital,"R$ 1,550.40","R$ 1,535.95","R$ 3,086.35",29.49%,"128,598"
2024,11,1,Bronze,Salvador,Roma,Latam,Latam,R$ 0.024,"64,600",11,2024,"63,998",02,2025,"R$ 4,377.00",Nordeste,BA,Itália,Exterior,Capital,"R$ 1,550.40","R$ 1,535.95","R$ 3,086.35",29.49%,"128,598"
2024,11,1,Bronze,Salvador,Roma,Latam,Latam,R$ 0.024,"64,600",02,2025,"63,998",02,2025,"R$ 4,377.00",Nordeste,BA,Itália,Exterior,Capital,"R$ 1,550.40","R$ 1,535.95","R$ 3,086.35",29.49%,"128,598"
2024,11,1,Prata,Fortaleza,Paris,Air France,Smiles,R$ 0.016,"81,700",11,2024,"77,400",11,2024,"R$ 4,302.00",Nordeste,CE,França,Exterior,Capital,"R$ 1,307.20","R$ 1,238.40","R$ 2,545.60",40.83%,"159,100"
2024,11,1,Ouro,Aracaju,Assunção,Latam,Latam,R$ 0.024,"20,634",11-12,2024,"20,634",11-12,2024,"R$ 2,322.00",Nordeste,SE,Paraguai,Exterior,Capital,R$ 495.22,R$ 495.22,R$ 990.43,57.35%,"41,268"
2024,11,1,Ouro,Aracaju,Assunção,Latam,Latam,R$ 0.024,"20,634",11-12,2024,"20,634",02-03-04,2025,"R$ 2,322.00",Nordeste,SE,Paraguai,Exterior,Capital,R$ 495.22,R$ 495.22,R$ 990.43,57.35%,"41,268"
2024,11,1,Ouro,Aracaju,Assunção,Latam,Latam,R$ 0.024,"20,634",02-03-04,2025,"20,634",02-03-04,2025,"R$ 2,322.00",Nordeste,SE,Paraguai,Exterior,Capital,R$ 495.22,R$ 495.22,R$ 990.43,57.35%,"41,268"
2024,11,1,Ouro,Fortaleza,Miami,Latam,Latam,R$ 0.024,"30,695",11-12,2024,"34,106",11-12,2024,"R$ 3,100.00",Nordeste,CE,EUA,Exterior,Flórida,R$ 736.68,R$ 818.54,"R$ 1,555.22",49.83%,"64,801"
2024,11,1,Ouro,Fortaleza,Miami,Latam,Latam,R$ 0.024,"30,695",11-12,2024,"34,106",01-02-03-04-05,2025,"R$ 3,100.00",Nordeste,CE,EUA,Exterior,Flórida,R$ 736.68,R$ 818.54,"R$ 1,555.22",49.83%,"64,801"
2024,11,1,Ouro,Fortaleza,Miami,Latam,Latam,R$ 0.024,"30,695",01-02-03-04-05,2025,"34,106",01-02-03-04-05,2025,"R$ 3,100.00",Nordeste,CE,EUA,Exterior,Flórida,R$ 736.68,R$ 818.54,"R$ 1,555.22",49.83%,"64,801"
2024,11,1,Ouro,Teresina,São Paulo,Gol,Smiles,R$ 0.016,"21,200",04,2025,"21,200",04,2025,"R$ 1,372.00",Nordeste,PI,Brasil,Sudeste,SP,R$ 339.20,R$ 339.20,R$ 678.40,50.55%,"42,400"
2024,11,1,Prata,Maceió,Goiânia,Gol,Smiles,R$ 0.016,"28,000",01-04,2025,"28,000",01-04,2025,"R$ 1,300.00",Nordeste,AL,Brasil,Centro-Oeste,GO,R$ 448.00,R$ 448.00,R$ 896.00,31.08%,"56,000"
2024,11,1,Prata,Fortaleza,Recife,Gol,Smiles,R$ 0.016,"24,000",01-05,2025,"24,000",01-05,2025,"R$ 1,213.00",Nordeste,CE,Brasil,Nordeste,PE,R$ 384.00,R$ 384.00,R$ 768.00,36.69%,"48,000"
2024,11,1,Ouro,Salvador,Natal,Gol,Smiles,R$ 0.016,"13,800",02,2025,"13,800",02,2025,"R$ 2,024.00",Nordeste,BA,Brasil,Nordeste,RN,R$ 220.80,R$ 220.80,R$ 441.60,78.18%,"27,600"
2024,11,1,Ouro,Salvador,Porto Seguro,Gol,Smiles,R$ 0.016,"17,200",02-03-04,2025,"13,800",02-03-04,2025,"R$ 2,333.00",Nordeste,BA,Brasil,Nordeste,BA,R$ 275.20,R$ 220.80,R$ 496.00,78.74%,"31,000"
2024,11,1,Prata,Recife,São Luís,Gol,Smiles,R$ 0.016,"26,600",02,2025,"20,800",02,2025,"R$ 1,391.00",Nordeste,PE,Brasil,Nordeste,MA,R$ 425.60,R$ 332.80,R$ 758.40,45.48%,"47,400"
2024,11,1,Bronze,Cuiabá,Lisboa,Latam,Latam,R$ 0.024,"80,650",02-03,2025,"80,449",02-03-04,2025,"R$ 5,221.00",Centro-Oeste,MT,Portugual,Exterior,Capital,"R$ 1,935.60","R$ 1,930.78","R$ 3,866.38",25.95%,"161,099"
2024,11,1,Bronze,Campo Grande,Barcelona,Latam,Latam,R$ 0.024,"77,369",02-03,2025,"77,171",02-03,2025,"R$ 5,240.00",Centro-Oeste,MS,Espanha,Exterior,Catalunha,"R$ 1,856.86","R$ 1,852.10","R$ 3,708.96",29.22%,"154,540"
2024,11,1,Prata,Goiânia,Bruxelas ,Latam,Latam,R$ 0.024,"80,750",02-03-05,2025,"81,345",02-03-05,2025,"R$ 6,250.00",Centro-Oeste,GO,Bélgica,Exterior,Capital,"R$ 1,938.00","R$ 1,952.28","R$ 3,890.28",37.76%,"162,095"
2024,11,1,Prata,Brasília,Roma,Latam,Latam,R$ 0.024,"65,001",11,2024,"63,196",11-12,2024,"R$ 5,747.00",Centro-Oeste,DF,Itália,Exterior,Capital,"R$ 1,560.02","R$ 1,516.70","R$ 3,076.73",46.46%,"128,197"
2024,11,1,Bronze,Goiânia,Navegantes,Gol,Smiles,R$ 0.016,"21,500",12,2024,"23,500",12,2024,"R$ 1,019.00",Centro-Oeste,GO,Brasil,Sul,SC,R$ 344.00,R$ 376.00,R$ 720.00,29.34%,"45,000"
2024,11,1,Bronze,Goiânia,Navegantes,Gol,Smiles,R$ 0.016,"21,500",12,2024,"23,500",01-02,2025,"R$ 1,019.00",Centro-Oeste,GO,Brasil,Sul,SC,R$ 344.00,R$ 376.00,R$ 720.00,29.34%,"45,000"
2024,11,1,Bronze,Goiânia,Navegantes,Gol,Smiles,R$ 0.016,"21,500",01-02,2025,"23,500",01-02,2025,"R$ 1,019.00",Centro-Oeste,GO,Brasil,Sul,SC,R$ 344.00,R$ 376.00,R$ 720.00,29.34%,"45,000"
